BioWare Version 5.0.3.0 Export
Device:	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11
Date	Oct 29, 2022  10:37:15
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay
	N	N	N	N m	N m	N m	m	m	N	N	N	N m	N m	N m	m	m	N	N	N	N m	N m	N m	m	m
0.000000	-0.049423	0.715436	0.520142	-0.435356	0.174581	0.035484	-0.335640	-0.836995	-0.752623	-0.224324	0.747534	0.070702	0.424743	-0.068386	-0.568193	0.094581	0.126917	0.273984	1.146557	-0.034434	-0.079890	-0.062734	0.069678	-0.030033
0.001042	-0.202010	0.791730	-2.226440	-0.353111	0.011006	0.086982	0.000000	0.000000	-0.714476	-0.109883	-0.457108	0.143802	-0.006524	-0.068386	0.000000	0.000000	-0.063818	0.197690	1.949651	-0.029628	0.100836	-0.094777	-0.051720	-0.015196
0.002083	-0.125716	0.562849	-1.005736	0.491157	-0.094127	-0.000756	0.000000	0.000000	-0.752623	-0.033589	-1.661749	0.219305	-0.249856	-0.106533	0.000000	0.000000	0.165064	0.312131	0.745010	0.204091	0.067070	-0.081044	-0.090026	0.273944
0.003125	0.179459	0.410261	-1.005736	-0.009026	-0.301036	0.041206	0.000000	0.000000	-0.600035	-0.186177	-0.457108	-0.012010	0.193428	-0.085171	0.000000	0.000000	0.012476	0.273984	1.949651	-0.355672	0.009271	-0.088674	-0.004755	-0.182429
0.004167	-0.049423	0.486555	0.520142	0.073219	-0.039042	0.144203	0.075061	0.140767	-0.638182	-0.033589	-0.858655	0.058686	0.142839	-0.129421	0.000000	0.000000	0.012476	0.235837	-0.058085	-0.112340	-0.328028	-0.065785	0.000000	0.000000
0.005208	0.332047	0.562849	0.214967	-0.180229	0.022756	0.083168	-0.105857	-0.838407	-0.676329	-0.071736	0.747534	0.382327	-0.052307	-0.059231	0.069972	0.511451	0.088770	0.502866	1.146557	-0.048854	0.014078	-0.070363	-0.012279	-0.042609
0.006250	0.332047	0.791730	-0.395385	0.318275	0.022756	-0.056069	0.000000	0.000000	-0.676329	-0.148030	-0.858655	-0.094723	0.140436	-0.105007	0.000000	0.000000	0.050623	0.350278	2.351198	-0.119550	-0.036511	-0.068837	0.015529	-0.050846
0.007292	0.179459	0.639142	-1.005737	-0.181908	0.126210	-0.124733	0.000000	0.000000	-0.790770	-0.109883	-0.055560	0.224111	-0.059516	-0.068386	0.000000	0.000000	0.088770	0.426572	2.351198	0.196881	-0.130479	-0.045949	0.055495	0.083736
0.008333	0.484635	0.181379	-0.395385	-0.003990	0.132924	0.081260	0.000000	0.000000	-0.905211	-0.071736	0.345987	-0.019220	-0.018540	-0.089749	0.053587	-0.055552	0.241358	0.464719	1.146557	-0.046451	0.023691	-0.081044	-0.020663	-0.040513
0.009375	0.484635	0.868024	-0.090209	-0.103020	0.186330	-0.027459	0.000000	0.000000	-0.714476	-0.033589	-2.063296	0.138995	0.186218	-0.092800	0.000000	0.000000	0.241358	0.655454	-0.058085	0.021843	-0.120866	-0.116139	0.000000	0.000000
0.010417	0.179459	0.868024	0.825318	-0.019097	0.019399	0.029762	-0.023505	-0.023138	-0.752623	-0.033589	-3.267937	0.379924	0.135630	-0.076016	0.000000	0.000000	0.050623	0.464719	-0.459632	-0.046451	0.011675	-0.103932	0.000000	0.000000
0.011458	0.179459	0.639142	1.130494	-0.097985	0.179616	0.039299	-0.158883	-0.086674	-0.714476	0.004558	-0.055560	0.216902	-0.054710	-0.088223	0.000000	0.000000	0.279505	0.502866	-0.861179	0.031456	-0.022091	-0.108510	0.000000	0.000000
0.012500	0.179459	0.715436	0.520142	0.068184	-0.247630	0.067909	0.476081	0.131087	-0.523741	0.080852	-4.071031	0.693952	0.246420	-0.086697	0.000000	0.000000	0.279505	0.693601	1.949651	-0.060870	-0.070277	-0.103932	0.036046	-0.031221
0.013542	0.026871	0.333967	0.214967	-0.175194	0.122853	0.081260	-0.571500	-0.814982	-0.714476	-0.109883	-2.464843	0.705968	0.138033	-0.077542	0.000000	0.000000	0.126917	0.426572	0.745010	0.357500	0.161038	-0.132924	-0.216156	0.479859
0.014583	-0.049423	0.868024	-0.700561	0.064827	-0.252665	0.088890	0.000000	0.000000	-0.790770	-0.186177	-0.457108	0.309227	0.374155	-0.077542	0.000000	0.000000	0.203211	0.350278	-0.861179	-0.119550	-0.026898	-0.108510	0.000000	0.000000
0.015625	-0.125716	0.410261	0.825318	-0.009026	0.012685	-0.084679	-0.015370	-0.010936	-0.676329	-0.071736	-0.055560	-0.260148	0.236807	-0.126370	0.000000	0.000000	0.317652	0.541013	-0.459632	0.430599	0.124869	-0.108510	0.000000	0.000000
0.016667	0.026871	0.868024	-0.700561	-0.270867	-0.144175	0.041206	0.000000	0.000000	-0.676329	-0.071736	-4.472578	0.462636	0.477736	-0.111111	0.000000	0.000000	0.088770	0.502866	-1.262726	-0.530710	0.014078	-0.082570	0.000000	0.000000
0.017708	0.026871	0.486555	1.130494	0.073219	-0.037364	-0.040810	0.033051	0.064767	-0.752623	-0.224324	0.345987	0.151012	0.183815	-0.077542	-0.531278	0.436467	0.012476	0.350278	-0.058085	-0.119550	-0.038914	-0.079518	0.000000	0.000000
0.018750	0.484635	0.868024	1.435670	-0.186943	-0.187510	0.083168	0.130608	-0.130213	-0.790770	-0.109883	-0.457108	-0.016817	0.085041	-0.065334	0.000000	0.000000	0.050623	0.273984	-1.664273	-0.435981	-0.132882	-0.053578	0.000000	0.000000
0.019792	0.179459	0.868024	-0.090209	0.064827	0.286428	0.014503	0.000000	0.000000	-0.752623	-0.224324	-0.457108	0.151012	0.087444	-0.068386	0.000000	0.000000	0.050623	0.273984	0.343463	0.126185	-0.084697	-0.062734	0.246596	0.367390
0.020833	-0.049423	0.715436	1.740846	0.236030	0.067769	0.130851	-0.038929	0.135584	-0.981505	-0.148030	0.747534	0.065896	0.121210	-0.098904	-0.162147	0.088151	0.126917	0.273984	0.745010	0.045875	-0.417190	-0.111562	0.559979	0.061577
0.021875	0.179459	0.868024	0.214967	-0.186943	0.019399	-0.038903	-0.090241	-0.869639	-0.790770	-0.071736	1.550628	0.221708	0.133226	-0.103481	-0.085918	0.142980	0.088770	0.121396	2.351198	0.055488	0.062264	-0.134450	-0.026482	0.023600
0.022917	0.103165	0.486555	-1.005737	0.157142	0.017720	0.048835	0.000000	0.000000	-0.676329	-0.224324	-2.464843	-0.089916	0.140436	-0.077542	0.000000	0.000000	0.088770	0.159543	1.146557	-0.348462	-0.275036	-0.105458	0.239880	-0.303921
0.023958	0.103165	0.333967	-1.005737	0.160499	0.124532	-0.008385	0.000000	0.000000	-0.714476	-0.224324	-1.260202	0.311631	-0.006524	-0.094326	0.000000	0.000000	0.088770	0.197690	1.548104	0.211301	-0.130479	-0.125295	0.084283	0.136490
0.025000	0.026871	0.715436	0.214967	-0.183586	0.122853	0.029762	-0.571500	-0.854022	-0.638182	-0.148030	-1.260202	0.306824	-0.290832	-0.088223	0.000000	0.000000	0.012476	0.121396	0.343463	-0.024821	-0.279842	-0.070363	0.814768	-0.072267
0.026042	-0.049423	0.639142	-0.090209	0.237709	-0.039042	0.075538	0.000000	0.000000	-0.714476	-0.224324	-0.457108	0.311631	0.186218	-0.109585	0.000000	0.000000	0.126917	0.502866	-0.058085	0.192074	0.161038	-0.132924	0.000000	0.000000
0.027083	0.103165	0.791730	-0.090209	0.066505	-0.142497	0.106056	0.000000	0.000000	-0.790770	-0.033589	-0.055560	0.058686	0.325969	-0.083645	0.000000	0.000000	0.088770	0.350278	0.343463	0.442616	0.110449	-0.125295	-0.321576	1.288687
0.028125	0.484635	0.715436	-2.531615	0.236030	-0.134105	0.014503	0.000000	0.000000	-0.638182	-0.109883	-3.669484	0.465040	0.094654	-0.083645	0.000000	0.000000	0.050623	0.464719	-0.861179	0.194478	-0.036511	-0.110036	0.000000	0.000000
0.029167	-0.278304	0.562849	-0.395385	-0.348076	-0.311107	0.067909	0.000000	0.000000	-0.752623	-0.148030	-3.267937	-0.094723	0.039258	-0.074490	0.000000	0.000000	0.012476	0.426572	0.343463	-0.365285	-0.087100	-0.116139	0.253593	-1.063536
0.030208	-0.049423	0.486555	-0.700561	0.408912	-0.145854	0.064094	0.000000	0.000000	-0.714476	0.004558	-0.858655	-0.425574	0.234404	-0.054653	0.000000	0.000000	0.012476	0.426572	0.745010	-0.124357	-0.328028	-0.085622	0.440300	-0.166920
0.031250	-0.125716	0.791730	1.130494	0.234352	-0.040721	-0.040810	0.036020	0.207300	-0.600035	-0.186177	-1.661749	-0.092320	0.337985	-0.118740	0.000000	0.000000	0.241358	0.464719	0.745010	0.515715	0.264619	-0.108510	-0.355189	0.692226
0.032292	-0.278304	0.486555	-1.616088	-0.514244	-0.097484	0.012596	0.000000	0.000000	-0.676329	-0.033589	-0.457108	0.299614	0.092250	-0.100430	0.000000	0.000000	0.012476	0.502866	0.745010	0.031456	0.057457	-0.076467	-0.077123	0.042222
0.033333	0.332047	0.181379	1.435670	-0.003990	-0.190867	0.081260	0.132947	-0.002779	-0.790770	-0.148030	-2.464843	0.226515	0.229598	-0.088223	0.000000	0.000000	0.165064	0.541013	-0.058085	-0.292185	0.067070	-0.126821	0.000000	0.000000
0.034375	0.103165	0.410261	-0.700561	-0.428642	-0.142497	-0.006478	0.000000	0.000000	-0.676329	0.042705	-2.063296	0.134189	0.188622	-0.091274	0.000000	0.000000	-0.063818	0.464719	-0.459632	-0.207069	-0.188278	-0.114613	0.000000	0.000000
0.035417	0.484635	0.639142	0.520142	-0.097985	-0.027293	0.096519	0.052472	-0.188380	-0.676329	-0.071736	-1.260202	0.302018	-0.004121	-0.105007	0.000000	0.000000	0.012476	0.426572	1.146557	-0.365285	0.298385	-0.085622	-0.260245	-0.318593
0.036458	0.255753	0.639142	-0.700561	-0.265831	-0.032329	0.033577	0.000000	0.000000	-0.828917	0.004558	-0.858655	0.056283	-0.158291	-0.074490	0.000000	0.000000	0.126917	0.541013	2.752745	-0.051257	0.016481	-0.122243	-0.005987	-0.018620
0.037500	0.255753	0.410261	0.214967	0.158821	-0.085734	-0.006478	0.398826	0.738817	-0.790770	-0.109883	-0.858655	0.063493	-0.059516	-0.074490	0.000000	0.000000	0.165064	0.312131	-1.262726	-0.036837	-0.173858	-0.120717	0.000000	0.000000
0.038542	0.103165	0.868024	-0.700561	-0.103020	0.284749	-0.006478	0.000000	0.000000	-0.752623	-0.109883	-2.063296	-0.016817	-0.105299	-0.097378	0.000000	0.000000	0.088770	0.388425	-0.058085	0.038665	0.158635	-0.126821	0.000000	0.000000
0.039583	-0.202010	0.181379	1.740846	0.079933	-0.149211	0.022133	0.085712	0.045916	-0.676329	-0.033589	-0.457108	0.138995	0.092250	-0.091274	0.000000	0.000000	0.088770	0.312131	1.146557	0.284400	0.110449	-0.102406	-0.096331	0.248047
0.040625	0.026871	0.715436	0.825318	-0.687126	-0.090770	-0.054161	0.109981	-0.832559	-0.714476	-0.186177	-0.858655	-0.252939	0.041661	-0.092800	0.000000	0.000000	-0.063818	0.426572	-0.058085	0.036262	-0.236463	-0.067311	0.000000	0.000000
0.041667	0.332047	0.791730	0.214967	0.486122	0.236379	0.069816	-1.099607	2.261383	-0.752623	-0.033589	-1.260202	0.138995	0.183815	-0.082119	0.000000	0.000000	0.088770	0.312131	1.146557	0.123781	-0.178665	-0.114613	0.155827	0.107959
0.042708	0.103165	0.562849	-1.616088	0.155464	0.017720	0.008781	0.000000	0.000000	-0.676329	-0.071736	0.345987	0.302018	-0.004121	-0.105007	0.011911	0.872917	0.126917	0.159543	0.745010	-0.268153	-0.417190	-0.106984	0.559979	-0.359932
0.043750	0.103165	0.868024	1.435670	-0.186943	0.124532	0.046928	-0.086741	-0.130213	-0.600035	-0.109883	-3.267937	-0.097126	0.241614	-0.072964	0.000000	0.000000	0.126917	0.273984	0.745010	0.045875	-0.128076	-0.114613	0.171911	0.061577
0.044792	-0.278304	0.715436	-0.395385	-0.183586	0.009328	0.136573	0.000000	0.000000	-0.828917	-0.224324	-2.063296	0.311631	0.275380	-0.095852	0.000000	0.000000	0.126917	0.159543	1.949651	-0.187843	-0.079890	-0.122243	0.040977	-0.096347
0.045833	-0.125716	0.639142	-0.090209	-0.097985	-0.147532	0.081260	0.000000	0.000000	-0.638182	-0.109883	-2.063296	-0.016817	0.094654	-0.108059	0.000000	0.000000	0.126917	0.312131	1.146557	0.284400	0.016481	-0.094777	-0.014375	0.248047
0.046875	0.179459	0.562849	0.520142	0.239387	-0.034007	0.014503	0.065380	0.460234	-0.714476	0.080852	-1.661749	0.051476	0.330775	-0.097378	0.000000	0.000000	0.050623	0.273984	-1.262726	0.447422	-0.084697	-0.126821	0.000000	0.000000
0.047917	0.103165	0.715436	-1.005737	0.319954	0.017720	0.062187	0.000000	0.000000	-0.752623	-0.033589	-1.260202	0.138995	0.087444	-0.112637	0.000000	0.000000	0.203211	0.197690	1.146557	-0.029628	0.117659	-0.084096	-0.102620	-0.025841
0.048958	0.103165	0.791730	0.825318	-0.017418	0.124532	0.117500	-0.150889	-0.021105	-0.752623	0.080852	3.558363	0.131786	-0.008927	-0.095852	0.002509	0.037035	0.355799	0.388425	-0.459632	-0.041644	0.030901	-0.131398	0.000000	0.000000
0.050000	-0.049423	0.639142	-0.090209	0.405556	0.067769	0.075538	0.000000	0.000000	-0.714476	-0.186177	-0.055560	0.389537	0.330775	-0.034817	0.000000	0.000000	0.126917	0.350278	1.146557	-0.199860	-0.079890	-0.071889	0.069678	-0.174313
0.051042	-0.125716	0.562849	0.520142	0.071541	0.066091	0.083168	-0.127063	0.137540	-0.714476	-0.071736	-1.260202	0.302018	-0.102895	-0.048550	0.000000	0.000000	-0.025671	0.426572	0.343463	-0.204666	-0.185874	-0.084096	0.541178	-0.595891
0.052083	-0.049423	0.486555	0.214967	-0.346398	-0.199260	0.006874	0.926933	-1.611402	-0.828917	-0.148030	-0.055560	0.226515	0.130823	-0.105007	0.000000	0.000000	0.165064	0.502866	-1.664273	-0.450401	-0.125672	-0.110036	0.000000	0.000000
0.053125	0.408341	0.486555	1.740846	-0.262474	-0.028972	0.006874	0.016642	-0.150774	-0.676329	0.080852	-1.661749	0.212095	0.044065	-0.105007	0.000000	0.000000	0.203211	0.655454	1.146557	0.262771	0.214030	-0.081044	-0.186672	0.229183
0.054167	0.332047	0.715436	-0.395385	-0.519280	0.129567	0.098426	0.000000	0.000000	-0.523741	-0.033589	-0.055560	0.379924	0.535534	-0.085171	0.000000	0.000000	0.165064	0.617307	-0.058085	-0.296992	0.067070	-0.099355	0.000000	0.000000
0.055208	0.026871	1.096906	0.520142	0.059791	-0.037364	0.043113	0.071834	0.114952	-0.638182	-0.148030	-0.858655	0.387134	0.142839	-0.072964	0.000000	0.000000	0.050623	0.502866	0.343463	0.111765	0.108046	-0.114613	-0.314579	0.325407
0.056250	0.103165	0.715436	-1.005737	0.152107	-0.089091	0.104149	0.000000	0.000000	-0.600035	-0.186177	-2.866390	0.148609	0.193428	-0.106533	0.000000	0.000000	0.165064	0.388425	3.154292	0.199284	-0.222044	-0.129872	0.070394	0.063179
0.057292	0.026871	0.562849	-0.395385	0.491157	-0.197581	0.029762	0.000000	0.000000	-0.790770	0.004558	-3.267937	-0.104336	0.229598	-0.088223	0.000000	0.000000	0.165064	0.541013	2.351198	0.350290	0.067070	-0.114613	-0.028526	0.148984
0.058333	0.103165	0.715436	-0.090209	0.236030	0.071126	0.035484	0.000000	0.000000	-0.638182	0.004558	-0.055560	0.056283	-0.049903	-0.112637	0.000000	0.000000	0.126917	0.502866	3.154292	0.031456	0.064667	-0.114613	-0.020501	0.009972
0.059375	0.255753	0.639142	-0.700561	0.069862	-0.032329	-0.035088	0.000000	0.000000	-0.676329	-0.148030	-1.260202	0.467443	-0.100492	-0.089749	0.000000	0.000000	0.203211	0.426572	-0.058085	0.036262	0.165845	-0.084096	0.000000	0.000000
0.060417	-0.125716	0.639142	1.130494	-0.097985	0.279714	0.069816	-0.247426	-0.086674	-0.752623	-0.186177	0.747534	0.228918	0.232001	-0.072964	-0.310355	0.306231	0.241358	0.312131	-0.861179	0.204091	0.071877	-0.117665	0.000000	0.000000
0.061458	-0.049423	0.181379	0.520142	0.415626	-0.039042	-0.008385	0.075061	0.799063	-0.714476	0.042705	-0.457108	0.455427	0.089847	-0.123318	0.000000	0.000000	0.165064	0.579160	1.146557	-0.053660	-0.077487	-0.100881	0.067582	-0.046801
0.062500	-0.125716	0.486555	-0.700561	0.073219	-0.147532	0.024040	0.000000	0.000000	-0.638182	-0.071736	-0.858655	0.061089	0.046468	-0.069912	0.000000	0.000000	0.088770	0.350278	0.343463	0.121378	0.110449	-0.070363	-0.321576	0.353395
0.063542	0.179459	0.639142	-0.395385	0.657326	0.126210	0.054557	0.000000	0.000000	-0.485594	0.080852	-1.661749	0.212095	0.345195	-0.094326	0.000000	0.000000	0.241358	0.159543	-1.262726	-0.348462	-0.265423	-0.096303	0.000000	0.000000
0.064583	-0.049423	0.410261	2.046021	0.158821	0.014363	0.050743	-0.007020	0.077624	-0.600035	-0.224324	0.345987	0.311631	-0.192057	-0.086697	0.555099	0.900701	0.088770	0.350278	1.146557	-0.199860	-0.082293	-0.091725	0.071774	-0.174313
0.065625	0.179459	0.639142	0.214967	0.657326	-0.407847	0.096519	1.897260	3.057804	-0.752623	0.004558	-0.055560	0.216902	0.135630	-0.080593	0.000000	0.000000	0.203211	0.273984	-0.861179	0.206494	-0.219640	-0.084096	0.000000	0.000000
0.066667	0.179459	0.257673	-0.090209	0.413948	0.072805	0.041206	0.000000	0.000000	-0.752623	-0.186177	-0.055560	0.228918	0.039258	-0.091274	0.000000	0.000000	0.165064	0.197690	1.548104	-0.431175	-0.029301	-0.134450	0.018927	-0.278518
0.067708	0.026871	0.715436	0.214967	-0.183586	-0.304393	0.098426	1.416000	-0.854023	-0.600035	-0.071736	-0.055560	0.221708	0.145243	-0.092800	0.000000	0.000000	0.126917	0.273984	0.343463	-0.034434	0.016481	-0.093251	-0.047986	-0.100256
0.068750	-0.354598	0.791730	0.520142	-0.269188	-0.152568	0.037391	0.293319	-0.517528	-0.676329	-0.148030	-2.866390	0.306824	0.188622	-0.120266	0.000000	0.000000	0.279505	0.235837	1.949651	0.289207	0.026094	-0.122243	-0.013384	0.148338
0.069792	-0.049423	0.639142	2.046021	-0.014061	-0.199260	0.064094	0.097389	-0.006872	-0.752623	-0.109883	-1.260202	-0.016817	0.087444	-0.106533	0.000000	0.000000	0.012476	0.350278	2.351198	-0.119550	0.153828	-0.094777	-0.065426	-0.050846
0.070833	0.026871	0.562849	1.435670	-0.180229	0.336476	0.220497	-0.234369	-0.125537	-0.752623	-0.109883	-2.464843	0.545349	0.135630	-0.060757	0.000000	0.000000	0.241358	0.502866	-0.058085	0.031456	-0.217237	-0.134450	0.000000	0.000000
0.071875	-0.049423	0.639142	-0.090209	-0.265831	-0.145854	0.006874	0.000000	0.000000	-0.600035	0.004558	-2.866390	-0.345264	0.000686	-0.101956	0.000000	0.000000	0.203211	0.273984	0.745010	0.045875	0.069473	-0.111562	-0.093252	0.061577
0.072917	0.408341	0.715436	-0.395385	-0.183586	-0.082377	0.104149	0.000000	0.000000	-0.676329	-0.033589	-1.260202	0.299614	0.477736	-0.082119	0.000000	0.000000	0.203211	0.464719	1.146557	-0.046451	0.021288	-0.097829	-0.018567	-0.040513
0.073958	0.255753	0.715436	-0.090209	-0.267510	0.288106	0.104149	0.000000	0.000000	-0.485594	0.195293	0.345987	0.285195	0.007895	-0.077542	-0.022820	0.824294	0.088770	0.426572	1.146557	0.116572	-0.275036	-0.110036	0.239880	0.101671
0.075000	0.179459	0.639142	-0.395385	-0.014061	-0.194224	0.069816	0.000000	0.000000	-0.676329	0.042705	-1.260202	0.455427	0.188622	-0.069912	0.000000	0.000000	0.165064	0.541013	0.343463	-0.051257	-0.173858	-0.081044	0.506192	-0.149236
0.076042	0.026871	0.791730	0.825318	-0.185265	0.016042	0.096519	-0.019437	-0.224477	-0.714476	0.080852	-0.055560	0.693952	0.041661	-0.072964	0.000000	0.000000	0.088770	0.312131	0.343463	0.123781	0.206821	-0.123769	-0.602163	0.360393
0.077083	0.179459	0.944318	0.214967	-0.188622	0.126210	0.001152	-0.587116	-0.877447	-0.752623	0.042705	-2.063296	0.134189	-0.008927	-0.140103	0.000000	0.000000	0.203211	0.388425	-0.058085	-0.121953	-0.026898	-0.103932	0.000000	0.000000
0.078125	0.103165	0.868024	0.214967	0.316597	-0.089091	0.008781	0.414442	1.472772	-0.638182	-0.033589	-0.055560	0.379924	0.046468	-0.083645	0.000000	0.000000	0.203211	0.541013	0.745010	-0.131566	-0.026898	-0.088674	0.036104	-0.176597
0.079167	0.255753	0.639142	-0.090209	0.405556	0.288106	0.117500	0.000000	0.000000	-0.714476	0.042705	-1.661749	0.375117	0.234404	-0.117214	0.000000	0.000000	0.165064	0.312131	1.548104	-0.438385	0.067070	-0.120717	-0.043324	-0.283175
0.080208	0.103165	0.562849	1.435670	0.491157	-0.089091	0.188072	0.062056	0.342110	-0.714476	-0.033589	-0.457108	0.460233	-0.006524	-0.092800	0.000000	0.000000	0.126917	0.350278	-0.459632	-0.199860	0.112853	-0.053578	0.000000	0.000000
0.081250	0.179459	0.791730	-0.090209	-0.101341	0.072805	0.016411	0.000000	0.000000	-0.600035	-0.033589	-0.457108	0.138995	-0.095686	-0.091274	0.000000	0.000000	0.126917	0.388425	1.949651	-0.041644	-0.176261	-0.122243	0.090407	-0.021360
0.082292	0.255753	0.562849	1.435670	0.155464	0.021077	-0.033181	-0.014681	0.108287	-0.676329	-0.186177	-0.457108	0.630465	0.284993	-0.100430	0.000000	0.000000	0.203211	0.388425	0.745010	-0.121953	0.069473	-0.094777	-0.093252	-0.163694
0.083333	0.103165	0.715436	-0.395385	0.152107	0.017720	0.077446	0.000000	0.000000	-0.752623	-0.148030	-2.464843	0.387134	-0.153484	-0.062283	0.000000	0.000000	0.203211	0.197690	-0.459632	0.291610	-0.171455	-0.090199	0.000000	0.000000
0.084375	0.179459	0.486555	-1.310912	0.073219	-0.034007	0.001152	0.000000	0.000000	-0.714476	0.004558	-0.457108	0.136592	0.186218	-0.133999	0.000000	0.000000	0.241358	0.235837	1.146557	0.128588	0.216434	-0.117665	-0.188768	0.112151
0.085417	-0.125716	0.562849	-1.921264	0.407234	-0.040721	0.113685	0.000000	0.000000	-0.638182	-0.224324	-0.858655	0.391940	0.046468	-0.103481	0.000000	0.000000	0.126917	0.121396	4.358933	-0.346059	-0.079890	-0.123769	0.018328	-0.079391
0.086458	-0.049423	0.791730	-0.700561	0.066505	0.067769	0.117500	0.000000	0.000000	-0.752623	0.004558	-1.661749	0.538139	0.232001	-0.077542	0.000000	0.000000	0.165064	0.312131	-0.058085	-0.117147	-0.125672	-0.090199	0.000000	0.000000
0.087500	0.103165	0.868024	-1.005737	-0.522637	0.231343	0.035484	0.000000	0.000000	-0.828917	-0.071736	-1.260202	0.302018	-0.110105	-0.071438	0.000000	0.000000	0.050623	0.350278	0.745010	-0.280169	-0.229254	-0.129872	0.307719	-0.376061
0.088542	-0.278304	0.639142	-0.395385	0.153786	0.009328	0.069816	0.000000	0.000000	-0.752623	-0.224324	-1.260202	0.151012	-0.008927	-0.080593	0.000000	0.000000	0.012476	0.312131	1.146557	-0.197456	-0.183471	-0.099355	0.160019	-0.172217
0.089583	0.103165	0.639142	0.214967	-0.014061	0.017720	-0.046532	-0.082433	-0.065411	-0.676329	0.195293	-3.267937	0.526123	0.140436	-0.097378	0.000000	0.000000	0.165064	0.426572	-0.058085	-0.124357	-0.222044	-0.100881	0.000000	0.000000
0.090625	-0.278304	0.868024	-0.700561	-0.103020	-0.150889	-0.027459	0.000000	0.000000	-0.714476	-0.033589	-0.858655	-0.101933	0.234404	-0.114163	0.000000	0.000000	0.050623	0.426572	-0.861179	0.036262	0.348974	-0.108510	0.000000	0.000000
0.091667	0.255753	0.562849	0.214967	0.323311	-0.085734	0.088890	0.398826	1.504004	-0.790770	-0.109883	-0.858655	0.063493	0.036855	-0.074490	0.000000	0.000000	0.279505	0.350278	0.343463	-0.360478	0.026094	-0.108510	-0.075974	-1.049542
