abs time (s)	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay
	N	N	N	N m	N m	N m	m	m	N	N	N	N m	N m	N m	m	m	N	N	N	N m	N m	N m	m	m
0.029167	-1.201990	1.652556	0.358917	-0.154060	-0.083208	0.268768	0.231832	-0.429236	-3.783988	-0.770377	-3.419464	0.130359	-0.225057	-0.507983	0.000000	0.000000	0.009837	3.266726	-2.267857	0.006334	0.140631	-0.547886	0.000000	0.000000
0.030208	-0.896814	1.805143	0.664093	0.597893	-0.129900	0.284027	0.195606	0.900315	-3.898429	-0.694083	-0.608634	0.527099	-0.184081	-0.536975	0.000000	0.000000	-0.028310	3.381167	1.346067	0.240053	-0.488186	-0.541783	0.362676	0.178336
0.031250	-1.278284	2.110319	1.579620	0.171563	-0.191698	0.263046	0.121357	0.108610	-3.898429	-0.694083	-3.017917	0.366480	-0.184081	-0.512561	0.000000	0.000000	0.047984	3.381167	-2.669404	-0.402423	-0.097894	-0.550938	0.000000	0.000000
0.032292	-1.278284	1.576262	0.969269	0.183312	0.128736	0.165772	-0.132818	0.189124	-3.783988	-0.846671	-1.411728	0.215475	0.015871	-0.523242	0.000000	0.000000	0.009837	3.266726	-0.661669	0.327572	-0.052112	-0.569249	0.000000	0.000000
0.033333	-1.125696	1.652556	0.053741	-0.070137	-0.028124	0.259232	0.523323	-1.305078	-3.783988	-0.732230	-3.419464	0.770431	-0.128686	-0.515613	0.000000	0.000000	0.047984	3.343020	-0.260121	0.724313	-0.194265	-0.537205	0.000000	0.000000
0.034375	-1.049402	1.805143	2.495148	0.262200	0.080366	0.268768	-0.032209	0.105084	-3.822135	-0.922965	-3.017917	0.380900	-0.372017	-0.518665	0.000000	0.000000	0.009837	3.495607	-3.070951	-0.008085	0.044260	-0.544835	0.000000	0.000000
0.035417	-1.125696	1.881437	-0.251434	0.008751	0.132093	0.234436	0.000000	0.000000	-3.745841	-0.808524	-2.616370	-0.188476	-0.126282	-0.544604	0.000000	0.000000	-0.104604	3.343020	-1.866310	0.242456	-0.107507	-0.552464	0.000000	0.000000
0.036458	-1.201990	1.957731	-0.861786	0.174919	-0.190020	0.268768	0.000000	0.000000	-3.783988	-0.922965	-4.222558	0.461209	-0.225057	-0.492725	0.000000	0.000000	0.047984	3.381167	0.141426	0.159743	-0.146080	-0.550938	1.032910	1.129522
0.037500	-1.507165	1.957731	-1.472138	0.174919	-0.089922	0.158142	0.000000	0.000000	-3.669547	-0.846671	-3.419464	0.456403	-0.121476	-0.543079	0.000000	0.000000	-0.104604	3.304873	-3.070951	0.164550	-0.059322	-0.550938	0.000000	0.000000
0.038542	-1.278284	1.881437	0.969269	0.176598	-0.298510	0.276398	0.307974	0.182197	-3.783988	-0.846671	-3.017917	0.215474	-0.176871	-0.520190	0.000000	0.000000	0.086131	3.266726	-0.661669	0.488191	-0.143677	-0.566197	0.000000	0.000000
